AveragedExtractionTask1.5,AveragedExtractionTask1.6,AveragedExtractionTask1.7,AveragedExtractionTask1.8,AveragedExtractionTask1.9,AveragedExtractionTask2.0,AveragedExtractionTask2.1,AveragedExtractionTask2.2,AveragedExtractionTask2.3,AveragedExtractionTask2.4,AveragedExtractionTask2.5,AveragedExtractionTask2.6,AveragedExtractionTask2.7,AveragedExtractionTask2.8,AveragedExtractionTask2.9,AveragedExtractionTask3.0,MedianIntegrationExtractionTask1.5,MedianIntegrationExtractionTask1.6,MedianIntegrationExtractionTask1.7,MedianIntegrationExtractionTask1.8,MedianIntegrationExtractionTask1.9,MedianIntegrationExtractionTask2.0,MedianIntegrationExtractionTask2.1,MedianIntegrationExtractionTask2.2,MedianIntegrationExtractionTask2.3,MedianIntegrationExtractionTask2.4,MedianIntegrationExtractionTask2.5,MedianIntegrationExtractionTask2.6,MedianIntegrationExtractionTask2.7,MedianIntegrationExtractionTask2.8,MedianIntegrationExtractionTask2.9,MedianIntegrationExtractionTask3.0,ThresholdAverageExtractionTask1.5,ThresholdAverageExtractionTask1.6,ThresholdAverageExtractionTask1.7,ThresholdAverageExtractionTask1.8,ThresholdAverageExtractionTask1.9,ThresholdAverageExtractionTask2.0,ThresholdAverageExtractionTask2.1,ThresholdAverageExtractionTask2.2,ThresholdAverageExtractionTask2.3,ThresholdAverageExtractionTask2.4,ThresholdAverageExtractionTask2.5,ThresholdAverageExtractionTask2.6,ThresholdAverageExtractionTask2.7,ThresholdAverageExtractionTask2.8,ThresholdAverageExtractionTask2.9,ThresholdAverageExtractionTask3.0,ThresholdMedianIntegrationExtractionTask1.5,ThresholdMedianIntegrationExtractionTask1.6,ThresholdMedianIntegrationExtractionTask1.7,ThresholdMedianIntegrationExtractionTask1.8,ThresholdMedianIntegrationExtractionTask1.9,ThresholdMedianIntegrationExtractionTask2.0,ThresholdMedianIntegrationExtractionTask2.1,ThresholdMedianIntegrationExtractionTask2.2,ThresholdMedianIntegrationExtractionTask2.3,ThresholdMedianIntegrationExtractionTask2.4,ThresholdMedianIntegrationExtractionTask2.5,ThresholdMedianIntegrationExtractionTask2.6,ThresholdMedianIntegrationExtractionTask2.7,ThresholdMedianIntegrationExtractionTask2.8,ThresholdMedianIntegrationExtractionTask2.9,ThresholdMedianIntegrationExtractionTask3.0
AveragedExtractionTask1.5,4.22,5.84,6.87,18.82,10.34,5.04,10.87,7.03,6.89,11.88,4.41,9.76,10.06,7.0,7.3
AveragedExtractionTask1.6,3.49,5.74,6.77,17.97,9.7,4.42,10.29,6.82,6.55,11.71,4.1,8.99,9.31,6.58,7.1
AveragedExtractionTask1.7,2.92,5.7,6.75,17.52,9.21,4.02,9.92,6.78,6.41,11.62,3.74,8.37,8.82,6.23,7.06
AveragedExtractionTask1.8,2.95,5.83,7.07,7.77,6.26,3.75,6.31,7.07,5.5,12.31,3.45,8.38,9.02,5.81,7.32
AveragedExtractionTask1.9,3.56,6.04,6.8,7.02,6.41,3.62,6.54,7.39,5.74,10.45,3.16,4.42,7.25,5.46,6.04
AveragedExtractionTask2.0,3.53,6.31,6.94,7.05,3.56,3.48,4.71,7.71,5.03,11.05,2.88,4.28,4.65,5.02,6.54
AveragedExtractionTask2.1,3.54,6.55,7.53,6.98,3.62,3.35,4.25,8.09,5.65,8.74,2.66,4.23,4.67,4.65,7.01
AveragedExtractionTask2.2,3.63,6.77,8.03,7.9,3.61,3.24,4.44,8.46,6.16,7.38,2.43,4.17,4.76,4.27,7.72
AveragedExtractionTask2.3,3.72,6.98,7.62,8.06,3.62,3.09,4.53,8.87,4.92,6.92,2.2,4.14,4.91,3.96,6.76
AveragedExtractionTask2.4,3.84,7.19,5.16,8.2,3.61,2.98,4.55,9.26,5.58,5.39,1.95,4.2,4.38,3.64,7.1
AveragedExtractionTask2.5,4.04,7.39,5.58,8.35,3.6,2.98,4.56,9.63,6.32,4.76,1.74,4.23,4.53,3.48,7.43
AveragedExtractionTask2.6,4.98,7.62,5.95,8.52,3.58,5.48,4.57,7.87,6.5,5.29,1.57,4.3,4.78,3.35,7.72
AveragedExtractionTask2.7,5.21,7.89,6.49,8.69,3.56,5.78,4.62,8.15,6.69,5.47,1.46,4.37,5.41,3.3,8.1
AveragedExtractionTask2.8,5.43,8.1,6.72,8.89,3.56,6.1,4.73,8.43,6.85,5.63,1.37,4.44,5.73,3.38,7.47
AveragedExtractionTask2.9,5.66,8.35,6.93,9.11,3.55,6.42,4.84,8.69,6.98,5.76,1.2,4.62,6.03,3.46,7.82
AveragedExtractionTask3.0,5.88,8.62,7.14,9.36,3.61,6.73,5.01,8.97,7.12,4.98,1.15,5.97,3.56,3.57,8.15
MedianIntegrationExtractionTask1.5,3.0,5.0,7.0,18.0,10.0,4.0,11.0,6.0,7.0,13.0,3.0,9.0,9.0,4.0,6.0
MedianIntegrationExtractionTask1.6,2.0,5.0,7.0,18.0,10.0,4.0,11.0,6.0,7.0,13.0,3.0,9.0,9.0,4.0,6.0
MedianIntegrationExtractionTask1.7,2.0,5.0,7.0,18.0,10.0,4.0,11.0,7.0,7.0,13.0,2.0,8.0,9.0,4.0,6.0
MedianIntegrationExtractionTask1.8,3.0,5.0,7.0,8.0,6.0,4.0,7.0,7.0,6.0,14.0,2.0,8.0,9.0,4.0,6.0
MedianIntegrationExtractionTask1.9,4.0,5.0,6.0,7.0,6.0,3.0,7.0,7.0,7.0,12.0,2.0,4.0,8.0,3.0,4.0
MedianIntegrationExtractionTask2.0,4.0,5.0,6.0,7.0,4.0,3.0,5.0,8.0,6.0,12.0,2.0,4.0,5.0,3.0,5.0
MedianIntegrationExtractionTask2.1,4.0,5.0,8.0,7.0,4.0,3.0,4.0,9.0,6.0,10.0,2.0,4.0,5.0,3.0,7.0
MedianIntegrationExtractionTask2.2,4.0,5.0,8.0,7.0,4.0,3.0,4.0,9.0,6.0,8.0,2.0,4.0,5.0,3.0,8.0
MedianIntegrationExtractionTask2.3,4.0,5.0,9.0,8.0,4.0,3.0,5.0,9.0,4.0,8.0,2.0,4.0,5.0,3.0,9.0
MedianIntegrationExtractionTask2.4,4.0,5.0,6.0,8.0,4.0,3.0,5.0,9.0,4.0,6.0,2.0,4.0,4.0,3.0,9.0
MedianIntegrationExtractionTask2.5,4.0,5.0,6.0,8.0,4.0,3.0,5.0,9.0,3.0,5.0,1.5,4.0,4.0,3.0,10.0
MedianIntegrationExtractionTask2.6,5.0,5.0,6.0,8.0,4.0,3.0,5.0,7.0,3.0,6.0,1.0,4.0,5.0,3.0,10.0
MedianIntegrationExtractionTask2.7,5.0,5.5,6.0,8.0,4.0,3.0,5.0,8.0,3.0,6.0,1.0,4.0,5.0,3.0,10.0
MedianIntegrationExtractionTask2.8,5.0,6.0,6.0,8.0,4.0,3.0,5.0,9.0,3.0,6.0,1.0,4.0,5.0,3.0,9.0
MedianIntegrationExtractionTask2.9,5.0,6.0,6.5,8.0,4.0,3.0,5.0,9.0,3.0,6.0,1.0,4.0,6.0,3.0,9.0
MedianIntegrationExtractionTask3.0,6.0,6.0,7.0,8.0,4.0,3.0,5.0,9.0,3.0,5.0,1.0,4.0,3.0,3.0,9.0
ThresholdAverageExtractionTask1.5,15.0,15.0,14.0,31.6,21.0,18.0,19.9,15.0,14.0,19.0,10.4,21.0,22.9,15.4,15.0
ThresholdAverageExtractionTask1.6,13.9,14.6,13.4,25.6,17.7,14.5,15.3,14.4,11.9,18.2,9.9,18.7,19.0,15.5,15.0
ThresholdAverageExtractionTask1.7,4.6,7.4,6.6,14.1,6.6,10.6,6.2,4.7,7.8,11.0,10.0,6.1,7.9,15.3,11.0
ThresholdAverageExtractionTask1.8,5.0,3.9,1.8,2.7,3.1,7.4,2.5,4.7,4.3,3.0,9.3,7.3,6.6,15.2,2.5
ThresholdAverageExtractionTask1.9,5.3,2.3,1.6,4.8,4.1,6.8,2.8,4.6,6.3,3.0,8.3,6.7,5.2,15.1,1.4
ThresholdAverageExtractionTask2.0,4.2,4.0,11.0,6.8,3.0,6.0,2.2,3.3,5.3,2.5,7.8,6.4,6.8,14.8,1.2
ThresholdAverageExtractionTask2.1,2.7,5.1,11.0,7.0,4.5,5.5,1.5,4.9,5.3,1.0,7.3,7.3,6.0,14.2,1.0
ThresholdAverageExtractionTask2.2,2.4,5.4,11.0,6.5,4.5,6.0,3.4,4.4,5.3,1.9,6.8,7.1,4.3,13.5,1.5
ThresholdAverageExtractionTask2.3,2.2,6.3,10.0,7.9,4.5,5.2,4.7,5.2,3.3,1.6,6.9,6.6,1.9,12.6,1.3
ThresholdAverageExtractionTask2.4,2.2,6.1,7.0,7.8,5.0,2.2,4.8,5.7,3.3,1.3,6.0,7.2,2.1,11.4,1.1
ThresholdAverageExtractionTask2.5,1.6,4.7,7.0,6.9,5.7,2.6,5.0,3.5,2.3,1.0,4.6,6.5,1.6,11.1,1.7
ThresholdAverageExtractionTask2.6,2.1,3.9,7.0,7.2,4.6,3.1,4.8,3.9,2.3,1.7,3.4,6.1,1.3,8.4,1.5
ThresholdAverageExtractionTask2.7,2.1,5.3,7.0,7.3,3.8,2.1,4.4,3.5,2.3,2.6,2.5,5.5,2.5,6.0,1.6
ThresholdAverageExtractionTask2.8,2.1,4.0,7.0,7.4,3.4,2.2,4.1,3.7,2.3,3.1,2.5,3.8,1.9,5.4,8.0
ThresholdAverageExtractionTask2.9,2.9,3.7,7.0,7.0,2.5,2.3,3.7,4.2,2.3,1.8,3.0,3.7,1.9,4.4,8.0
ThresholdAverageExtractionTask3.0,2.2,4.6,7.0,8.2,1.5,1.5,3.2,1.7,2.3,4.0,3.6,2.9,0.6,3.2,8.0
ThresholdMedianIntegrationExtractionTask1.5,3.0,5.0,7.0,18.0,10.0,4.0,11.0,6.0,7.0,13.0,3.0,9.0,9.0,4.0,6.0
ThresholdMedianIntegrationExtractionTask1.6,2.0,5.0,7.0,18.0,10.0,4.0,11.0,6.0,7.0,13.0,3.0,9.0,9.0,4.0,6.0
ThresholdMedianIntegrationExtractionTask1.7,2.0,5.0,7.0,18.0,10.0,4.0,11.0,7.0,7.0,13.0,2.0,8.0,9.0,4.0,6.0
ThresholdMedianIntegrationExtractionTask1.8,3.0,5.0,7.0,8.0,6.0,4.0,7.0,7.0,6.0,14.0,2.0,8.0,9.0,4.0,6.0
ThresholdMedianIntegrationExtractionTask1.9,4.0,5.0,6.0,7.0,6.0,3.0,7.0,7.0,7.0,12.0,2.0,4.0,8.0,3.0,4.0
ThresholdMedianIntegrationExtractionTask2.0,4.0,5.0,6.0,7.0,4.0,3.0,5.0,8.0,6.0,12.0,2.0,4.0,5.0,3.0,5.0
ThresholdMedianIntegrationExtractionTask2.1,4.0,5.0,8.0,7.0,4.0,3.0,4.0,9.0,6.0,10.0,2.0,4.0,5.0,3.0,7.0
ThresholdMedianIntegrationExtractionTask2.2,4.0,5.0,8.0,7.0,4.0,3.0,4.0,9.0,6.0,8.0,2.0,4.0,5.0,3.0,8.0
ThresholdMedianIntegrationExtractionTask2.3,4.0,5.0,9.0,8.0,4.0,3.0,5.0,9.0,4.0,8.0,2.0,4.0,5.0,3.0,9.0
ThresholdMedianIntegrationExtractionTask2.4,4.0,5.0,6.0,8.0,4.0,3.0,5.0,9.0,4.0,6.0,2.0,4.0,4.0,3.0,9.0
ThresholdMedianIntegrationExtractionTask2.5,4.0,5.0,6.0,8.0,4.0,3.0,5.0,9.0,3.0,5.0,1.5,4.0,4.0,3.0,10.0
ThresholdMedianIntegrationExtractionTask2.6,5.0,5.0,6.0,8.0,4.0,3.0,5.0,7.0,3.0,6.0,1.0,4.0,5.0,3.0,10.0
ThresholdMedianIntegrationExtractionTask2.7,5.0,5.5,6.0,8.0,4.0,3.0,5.0,8.0,3.0,6.0,1.0,4.0,5.0,3.0,10.0
ThresholdMedianIntegrationExtractionTask2.8,5.0,6.0,6.0,8.0,4.0,3.0,5.0,9.0,3.0,6.0,1.0,4.0,5.0,3.0,9.0
ThresholdMedianIntegrationExtractionTask2.9,5.0,6.0,6.5,8.0,4.0,3.0,5.0,9.0,3.0,6.0,1.0,4.0,6.0,3.0,9.0
ThresholdMedianIntegrationExtractionTask3.0,6.0,6.0,7.0,8.0,4.0,3.0,5.0,9.0,3.0,5.0,1.0,4.0,3.0,3.0,9.0
